         4643644 function calls (4640739 primitive calls) in 15.413 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       48    0.000    0.000    0.010    0.000 __init__.py:1724(get_resource_stream)
        1    0.000    0.000    0.000    0.000 __init__.py:1737(EmptyProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1745(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1751(ZipManifests)
        3    0.000    0.000    0.000    0.000 __init__.py:1774(getLogger)
        1    0.000    0.000    0.001    0.001 __init__.py:1778(MemoizedZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:1798(ContextualZipFile)
        1    0.000    0.000    0.000    0.000 __init__.py:1818(ZipProvider)
        5    0.000    0.000    0.000    0.000 __init__.py:182(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1902(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1986(FileMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:2015(PathMetadata)
       10    0.000    0.000    0.000    0.000 __init__.py:2035(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2040(EggMetadata)
        4    0.000    0.000    0.000    0.000 __init__.py:2056(register_finder)
       18    0.000    0.000    0.000    0.000 __init__.py:2066(find_distributions)
        2    0.000    0.000    0.000    0.000 __init__.py:2094(find_nothing)
       26    0.003    0.000    0.012    0.000 __init__.py:2098(find_on_path)
        1    0.000    0.000    0.000    0.000 __init__.py:210(FuncResult)
        1    0.000    0.000    0.000    0.000 __init__.py:210(SetuptoolsVersion)
        4    0.000    0.000    0.000    0.000 __init__.py:211(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:214(SetuptoolsLegacyVersion)
        4    0.000    0.000    0.000    0.000 __init__.py:2148(register_namespace_handler)
        4    0.000    0.000    0.000    0.000 __init__.py:220(_releaseLock)
        5    0.000    0.000    0.000    0.000 __init__.py:2224(fixup_namespace_packages)
       10    0.000    0.000    0.001    0.000 __init__.py:2260(normalize_path)
       61    0.000    0.000    0.001    0.000 __init__.py:2264(_normalize_cached)
        4    0.000    0.000    0.000    0.000 __init__.py:228(_declare_state)
        1    0.000    0.000    0.000    0.000 __init__.py:231(LogRecord)
        1    0.000    0.000    0.003    0.003 __init__.py:2319(EntryPoint)
        1    0.000    0.000    0.012    0.012 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:2454(Distribution)
       10    0.000    0.000    0.002    0.000 __init__.py:2458(__init__)
       10    0.000    0.000    0.002    0.000 __init__.py:2470(from_location)
        1    0.001    0.001    0.111    0.111 __init__.py:25(<module>)
       35    0.000    0.000    0.000    0.000 __init__.py:2526(key)
        1    0.000    0.000    0.000    0.000 __init__.py:261(get_supported_platform)
        5    0.000    0.000    0.001    0.000 __init__.py:2614(_get_metadata)
        5    0.000    0.000    0.001    0.000 __init__.py:2619(activate)
       15    0.000    0.000    0.000    0.000 __init__.py:2655(__getattr__)
        5    0.000    0.000    0.001    0.000 __init__.py:2700(insert_on)
        5    0.000    0.000    0.000    0.000 __init__.py:2709(<listcomp>)
        1    0.000    0.000    0.001    0.001 __init__.py:2783(DistInfoDistribution)
        1    0.000    0.000    0.000    0.000 __init__.py:2866(RequirementParseError)
        1    0.000    0.000    0.000    0.000 __init__.py:2935(Requirement)
      114    0.000    0.000    0.000    0.000 __init__.py:2994(_get_mro)
      114    0.001    0.000    0.001    0.000 __init__.py:3001(_find_adapter)
        2    0.000    0.000    0.015    0.007 __init__.py:3069(_call_aside)
        1    0.000    0.000    0.000    0.000 __init__.py:3074(_initialize)
        1    0.000    0.000    0.015    0.015 __init__.py:3084(_initialize_master_working_set)
        5    0.000    0.000    0.001    0.000 __init__.py:3109(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:330(ResolutionError)
        1    0.000    0.000    0.000    0.000 __init__.py:336(VersionConflict)
       11    0.001    0.000    0.017    0.002 __init__.py:349(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:368(ContextualVersionConflict)
        1    0.000    0.000    0.000    0.000 __init__.py:370(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:376(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:381(DistributionNotFound)
        1    0.000    0.000    0.000    0.000 __init__.py:385(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:394(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:408(UnknownExtra)
       58    0.000    0.000    0.000    0.000 __init__.py:412(<genexpr>)
       58    0.000    0.000    0.000    0.000 __init__.py:414(<genexpr>)
